iter	Passed	Remaining
0	152	152438
1	170	84897
2	186	62110
3	239	59626
4	393	78230
5	439	72759
6	471	66857
7	501	62210
8	527	58127
9	557	55211
10	588	52953
11	623	51365
12	682	51821
13	745	52510
14	800	52546
15	845	51983
16	890	51503
17	941	51353
18	982	50712
19	1019	49974
20	1053	49126
21	1089	48454
22	1121	47620
23	1155	46998
24	1194	46585
25	1235	46268
26	1278	46055
27	1323	45933
28	1361	45572
29	1400	45283
30	1450	45336
31	1492	45161
32	1534	44966
33	1571	44650
34	1612	44456
35	1647	44106
36	1683	43810
37	1717	43470
38	1755	43246
39	1784	42830
40	1815	42464
41	1847	42150
42	1878	41802
43	1911	41537
44	1941	41207
45	1972	40915
46	2005	40664
47	2037	40410
48	2072	40218
49	2103	39957
50	2135	39732
51	2168	39531
52	2206	39419
53	2241	39267
54	2271	39028
55	2302	38816
56	2333	38611
57	2367	38455
58	2410	38452
59	2445	38318
60	2476	38117
61	2504	37895
62	2536	37727
63	2573	37638
64	2604	37458
65	2632	37260
66	2666	37129
67	2696	36954
68	2733	36884
69	2772	36839
70	2809	36761
71	2838	36581
72	2870	36446
73	2907	36384
74	2937	36224
75	2969	36100
76	3001	35984
77	3036	35890
78	3072	35815
79	3108	35749
80	3142	35657
81	3176	35556
82	3208	35450
83	3238	35315
84	3273	35241
85	3303	35111
86	3333	34980
87	3367	34899
88	3402	34825
89	3431	34698
90	3467	34633
91	3501	34553
92	3533	34459
93	3563	34345
94	3595	34254
95	3628	34171
96	3666	34133
97	3704	34098
98	3739	34032
99	3773	33958
100	3811	33925
101	3844	33850
102	3876	33757
103	3908	33675
104	3940	33586
105	3969	33479
106	4002	33400
107	4039	33366
108	4074	33304
109	4109	33245
110	4142	33179
111	4180	33148
112	4215	33088
113	4246	33007
114	4275	32904
115	4307	32829
116	4342	32773
117	4373	32692
118	4404	32611
119	4434	32522
120	4465	32439
121	4499	32378
122	4529	32294
123	4565	32253
124	4598	32186
125	4629	32112
126	4664	32062
127	4696	31991
128	4725	31905
129	4758	31842
130	4797	31823
131	4829	31759
132	4863	31707
133	4899	31662
134	4931	31597
135	4966	31550
136	5004	31527
137	5037	31464
138	5067	31388
139	5098	31319
140	5132	31268
141	5160	31182
142	5192	31117
143	5223	31053
144	5254	30981
145	5290	30943
146	5324	30898
147	5359	30851
148	5390	30790
149	5421	30723
150	5464	30725
151	5512	30754
152	5548	30717
153	5584	30679
154	5625	30669
155	5661	30627
156	5695	30580
157	5731	30545
158	5765	30494
159	5802	30464
160	5836	30414
161	5867	30354
162	5896	30277
163	5927	30217
164	5959	30160
165	5999	30140
166	6032	30090
167	6066	30042
168	6096	29979
169	6130	29932
170	6167	29897
171	6197	29834
172	6229	29776
173	6258	29709
174	6287	29642
175	6327	29623
176	6361	29579
177	6391	29514
178	6421	29454
179	6452	29396
180	6488	29360
181	6524	29325
182	6559	29285
183	6594	29244
184	6630	29211
185	6667	29177
186	6697	29118
187	6729	29066
188	6771	29056
189	6808	29027
190	6847	29001
191	6881	28961
192	6915	28914
193	6951	28882
194	6987	28844
195	7020	28798
196	7057	28767
197	7094	28735
198	7128	28691
199	7152	28610
200	7174	28519
201	7198	28438
202	7222	28356
203	7246	28275
204	7270	28193
205	7293	28113
206	7315	28024
207	7338	27942
208	7364	27873
209	7387	27789
210	7413	27721
211	7436	27641
212	7459	27560
213	7482	27481
214	7502	27392
215	7524	27310
216	7546	27230
217	7577	27183
218	7603	27117
219	7627	27042
220	7649	26963
221	7674	26893
222	7696	26815
223	7724	26758
224	7752	26701
225	7781	26648
226	7807	26587
227	7829	26511
228	7853	26442
229	7877	26371
230	7905	26315
231	7925	26237
232	7946	26158
233	7966	26078
234	7988	26004
235	8008	25927
236	8033	25862
237	8056	25795
238	8081	25732
239	8103	25662
240	8126	25592
241	8148	25522
242	8169	25448
243	8194	25388
244	8217	25324
245	8241	25260
246	8263	25191
247	8286	25126
248	8311	25067
249	8332	24998
250	8357	24939
251	8379	24873
252	8403	24811
253	8428	24754
254	8451	24690
255	8474	24629
256	8496	24564
257	8524	24515
258	8546	24452
259	8568	24387
260	8591	24325
261	8615	24267
262	8636	24203
263	8660	24145
264	8682	24081
265	8706	24023
266	8729	23964
267	8752	23905
268	8774	23843
269	8796	23781
270	8822	23732
271	8845	23675
272	8868	23617
273	8890	23556
274	8914	23501
275	8935	23440
276	8959	23385
277	8985	23336
278	9008	23278
279	9033	23227
280	9053	23164
281	9074	23104
282	9096	23046
283	9119	22990
284	9144	22940
285	9164	22879
286	9185	22819
287	9205	22758
288	9229	22706
289	9252	22651
290	9279	22607
291	9301	22551
292	9326	22504
293	9349	22450
294	9371	22397
295	9393	22340
296	9413	22281
297	9437	22231
298	9461	22181
299	9484	22129
300	9507	22078
301	9528	22023
302	9550	21970
303	9575	21922
304	9597	21868
305	9620	21817
306	9642	21766
307	9748	21903
308	9813	21944
309	9859	21944
310	9887	21905
311	9912	21858
312	9938	21813
313	9960	21761
314	9983	21711
315	10005	21657
316	10029	21609
317	10054	21563
318	10076	21511
319	10099	21460
320	10120	21407
321	10141	21354
322	10164	21305
323	10187	21255
324	10214	21215
325	10236	21164
326	10259	21114
327	10282	21066
328	10306	21019
329	10329	20971
330	10353	20926
331	10376	20877
332	10400	20832
333	10427	20793
334	10453	20750
335	10475	20701
336	10500	20658
337	10521	20608
338	10543	20558
339	10566	20511
340	10592	20469
341	10614	20421
342	10637	20376
343	10663	20334
344	10686	20289
345	10709	20243
346	10734	20200
347	10757	20154
348	10780	20108
349	10804	20066
350	10826	20018
351	10852	19978
352	10876	19935
353	10900	19891
354	10923	19846
355	10949	19806
356	10973	19763
357	10993	19715
358	11016	19670
359	11037	19621
360	11060	19578
361	11091	19547
362	11119	19513
363	11146	19475
364	11174	19440
365	11202	19404
366	11226	19363
367	11253	19326
368	11279	19287
369	11311	19260
370	11341	19228
371	11380	19212
372	11404	19171
373	11434	19139
374	11472	19121
375	11502	19089
376	11535	19063
377	11569	19037
378	11600	19007
379	11637	18987
380	11674	18968
381	11710	18945
382	11747	18924
383	11782	18901
384	11820	18882
385	11860	18865
386	11888	18830
387	11915	18794
388	11946	18764
389	11975	18731
390	12004	18698
391	12031	18660
392	12059	18626
393	12088	18592
394	12115	18556
395	12141	18518
396	12167	18481
397	12194	18445
398	12221	18409
399	12254	18381
400	12281	18345
401	12309	18310
402	12334	18271
403	12359	18233
404	12387	18198
405	12416	18165
406	12446	18134
407	12477	18104
408	12503	18067
409	12535	18038
410	12572	18017
411	12604	17989
412	12643	17969
413	12677	17943
414	12707	17913
415	12737	17881
416	12767	17849
417	12796	17816
418	12824	17782
419	12851	17747
420	12880	17715
421	12914	17688
422	12948	17661
423	12988	17644
424	13019	17615
425	13043	17575
426	13074	17544
427	13103	17512
428	13140	17490
429	13169	17456
430	13195	17420
431	13226	17389
432	13254	17356
433	13285	17325
434	13316	17296
435	13346	17264
436	13376	17233
